PollBookCode,PrintMS,Citation,Holdings,Source,ElectionCode,Notes
Lewes_1830a/2,P,"Borough of Lewes. A poll taken by Benjamin Ridge, Esq. and Mr. G. Bailey… (Lewes: J. Baxter, 1830)","Var. East Sussex RO, Sussex Archaeological Society, GL, IHR",Sims; Gibson and Rogers,Lewes_1830a,
Lewes_1830a/3,P,"Borough of Lewes. A poll taken by Messrs. Benjamin Ridge and George Bailey... (Lewes: J. Baxter, 1830)","Var. East Sussex RO, Sussex Archaeological Society, GL, IHR",Sims; Gibson and Rogers,Lewes_1830a,
Midhurst_1702a/1,M,"Knight MSS, 18M61, Box 29, Bundle K/6",Hampshire RO,HoP,Midhurst_1702a,
Midhurst_1708a/1,M,Cowdray MSS 4813/5,West Sussex RO,Green Notes; Gibson and Rogers,Midhurst_1708a,
Midhurst_1710a/1,M,Cowdray MSS 4813/11,West Sussex RO,Green Notes; Gibson and Rogers,Midhurst_1710a,
Midhurst_1711a/1,M,Cowdray MSS 4813/17,West Sussex RO,Green Notes; Gibson and Rogers,Midhurst_1711a,
Midhurst_1736a/1,M,Cowdray MSS 4813/24,West Sussex RO,Green Notes; Gibson and Rogers,Midhurst_1736a,Unopposed.
Midhurst_1754b/1,M,Cowdray MSS 4814-15,West Sussex RO,Green Notes; Gibson and Rogers,Midhurst_1754b,
NewShoreham_1774a/1,M,Arundel Borough/E1/10,West Sussex RO,Green Notes,NewShoreham_1774a,
NewShoreham_1774a/2,M,PHA 9045,West Sussex RO,Green Notes,NewShoreham_1774a,
NewShoreham_1784a/1,P,"A poll taken in…New Shoreham… (London: C. Watts, [1784])","West Sussex RO, IHR, Petworth House",Sims; Gibson and Rogers,NewShoreham_1784a,
NewShoreham_1790a/1,M,PHA 9047,West Sussex RO,Green Notes,NewShoreham_1790a,
NewShoreham_1807a/1,P,"The poll taken at New Shoreham… (Lewes: W. & A. Lee, 1808)",GL,Sims; Gibson and Rogers,NewShoreham_1807a,
NewShoreham_1826a/1,M,Add. MSS 40571,West Sussex RO,Green Notes,NewShoreham_1826a,
Seaford_1710a/1,M,"Add. MS 33064, ff. 197-8",BL,Speck,Seaford_1710a,
Seaford_1761a/1,M,SEA/13/438,East Sussex RO,Green Notes; Gibson and Rogers,Seaford_1761a,"Printed in Sussex Archaeological Collections, 44 (1901) and S. Excell (ed.), 'Voters in Seaford Borough in 1761', Sussex Family History, 8 (1988)."
Seaford_1786a/1,M,SEA/13/458,East Sussex RO,Green Notes; Gibson and Rogers,Seaford_1786a,
Seaford_1790a/1,M,SEA/13/460,East Sussex RO,HoP; Green Notes,Seaford_1790a,
Seaford_1794a/1,M,SEA/13/467,East Sussex RO,Green Notes; Gibson and Rogers,Seaford_1794a,
Seaford_1796a/1,M,SEA/13/474,East Sussex RO,Green Notes; Gibson and Rogers,Seaford_1796a,
Seaford_1802a/1,M,SEA/13/475,East Sussex RO,Green Notes,Seaford_1802a,
Seaford_1806a/1,M,SEA/13/478,East Sussex RO,Gibson and Rogers,Seaford_1806a,
Seaford_1807a/1,M,SEA/13/480,East Sussex RO,HoP; Green Notes,Seaford_1807a,
Steyning_1754a/1,M,Add. MS 40565,West Sussex RO,Green Notes,Steyning_1754a,
Steyning_1790a/1,P,"Simon Fraser, Reports of the Proceedings before Select Committees of the House of Commons in the following Cases of Contested Elections..., Vol. II (1793)",Worthing Library,Green Notes,Steyning_1790a,
Warks_1705a/1,M,DR37/2/85/11-14,Shakespeare Birthplace Trust,Gibson and Rogers,Warks_1705a,Copy at Warwickshire RO.
Warks_1774a/1,P,"The poll of the freeholders… (Coventry: J. W. Piercy; Warwick: J. Sharp, 1775)","Birmingham CL, Coventry CL, Warwickshire RO, BL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Warks_1774a,
Warks_1820b/1,P,"The poll of the freeholders… (Birmingham: T. Knott, Jr., 1820)","Birmingham CL, Leamington Spa Library, Shakespeare Birthplace Trust, Warwick Library, Warwickshire RO, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Warks_1820b,
Coventry_1734a/1,M,PA96/36/4,Coventry Archives,Green Notes,Coventry_1734a,
Coventry_1741a/1,P,"A true list of such persons as voted… (Coventry, 1741)","Bodl., IHR",Sims; Gibson and Rogers,Coventry_1741a,
Coventry_1747b/1,P,"An alphabetical list of the poll… (Coventry: S. Brooks, 1748)","Birmingham CL, IHR, Coventry CL (copy)",Sims; Gibson and Rogers,Coventry_1747b,
Coventry_1761a/1,P,"An alphabetical list of the poll… (Coventry: T. Luckman, [1761])","Var. Birmingham CL, Coventry CL, BL, IHR",Sims; Gibson and Rogers,Coventry_1761a,
Coventry_1761a/2,P,"An alphabetical list of the poll… to represent the city of C***** in Parliament (London: Moses Right, 1761)","Var. Birmingham CL, Coventry CL, BL, IHR",Sims; Gibson and Rogers,Coventry_1761a,
Coventry_1768b/1,P,"A correct copy of the poll… (London: J. Jones, [1768])","Coventry CL, IHR",Sims; Gibson and Rogers,Coventry_1768b,
Coventry_1768b/2,M,DR37/2/85/21,Shakespeare Birthplace Trust,Gibson and Rogers,Coventry_1768b,
Coventry_1774a/1,P,"An alphabetical list of the poll… (Coventry: J. W. Piercy, [1774])","Var. Coventry CL, Coventry Archives, IHR",Sims; Gibson and Rogers,Coventry_1774a,
Coventry_1774a/2,P,"A complete copy of the poll… (Coventry: J. Jones, [1774])","Var. Coventry CL, Coventry Archives, IHR",Sims; Gibson and Rogers,Coventry_1774a,
Coventry_1780b/1,P,"A correct copy of the poll… (Coventry: R. Bird, [1780])","Coventry CL, IHR",Sims; Gibson and Rogers,Coventry_1780b,
Coventry_1790a/1,P,"A correct copy of the poll… (Coventry: J. W. Piercy, [1790])","Birmingham CL, Coventry CL, Coventry Archives, IHR",Sims; Gibson and Rogers,Coventry_1790a,
Coventry_1802a/1,P,"A correct copy of the poll… (Coventry: J. Turner, [1802])","Coventry CL, Coventry Archives, IHR",Sims; Gibson and Rogers,Coventry_1802a,
Coventry_1803a/1,P,"A correct copy of the poll… (Coventry: J. Turner, [1803])","Coventry CL, IHR",Sims; Gibson and Rogers,Coventry_1803a,
Coventry_1818a/1,P,"A correct copy of the poll… (Coventry: J. Turner, 1818)","Coventry CL, IHR",Sims; Gibson and Rogers,Coventry_1818a,
Coventry_1820a/1,P,"A correct copy of the poll… (Coventry: W. Rotherham, 1820)","Coventry CL, IHR",Sims; Gibson and Rogers,Coventry_1820a,
Coventry_1826a/1,P,"A correct copy of the poll… (Coventry: Merridew and son, 1826)","Coventry CL, IHR",Sims; Gibson and Rogers,Coventry_1826a,
Warwick_1734a/1,M,CR1596/box 93/2/1,Warwickshire RO,Green Notes,Warwick_1734a,
Warwick_1784a/1,P,"The poll of the burgesses… (Warwick: J. Sharp, [1784])",GL,Sims; Gibson and Rogers,Warwick_1784a,
