PollBookCode,PrintMS,Citation,Holdings,Source,ElectionCode,Notes
Beds_1695a/1,M,MG/6/1/B/4,Lincolnshire Archives,HoP,Beds_1695a,"Includes votes for William Duncomb and Thomas Browne only, and incomplete. Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1705a/1,P,"A copy of the poll… (London, 1705)","Bedfordshire Archives and Records Service, Bedford Town Hall, IHR, GL",Sims; Gibson and Rogers,Beds_1705a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1715a/1,P,"A copy of the poll… (London, 1715)","Bedfordshire Archives and Records Service, Bedford Town Hall, Bodl., IHR",Sims; Gibson and Rogers,Beds_1715a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1722a/1,P,"A copy of the poll… (London, 1722)","Bedfordshire Archives and Records Service, IHR, BL",Sims; Gibson and Rogers,Beds_1722a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1727a/1,M,OR1828,Bedfordshire Archives and Records Service,HoP; Gibson and Rogers,Beds_1727a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1727a/2,M,CH15/1,Bedfordshire Archives and Records Service,Gibson and Rogers,Beds_1727a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1734a/1,M,OR1829,Bedfordshire Archives and Records Service,Gibson and Rogers,Beds_1734a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1734a/2,M,CH923,Bedfordshire Archives and Records Service,Gibson and Rogers,Beds_1734a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1774a/1,P,"A copy of the poll… (Bedford: Bartholemew Hyatt, 1775)","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, BL, Bodl., SoG (MS 'Analysis'), IHR",Sims; Gibson and Rogers; Edwards,Beds_1774a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1735-1784: The Evidence of Local Documents and Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2012)"
Beds_1784a/1,P,"A copy of the poll… (n.p., [1784])","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, BL, IHR",Sims; Gibson and Rogers,Beds_1784a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1735-1784: The Evidence of Local Documents and Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2012)"
Beds_1784a/2,P,"A copy of the cheque poll... Mansergh hundred ([?Bedford], 1784)",Bedfordshire Archives and Records Service,Green Notes,Beds_1784a,Manshead Hundred only.
Beds_1807a/1,P,"A copy of the poll… (Bedford: J. Webb, 1808)","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, BL, GL, Bodl., IHR, SoG",Sims; Gibson and Rogers; Edwards,Beds_1807a,
Beds_1820a/1,P,"A copy of the poll… (Bedford: C. B. Merry, 1820)","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, IHR, GL, SoG",Sims; Gibson and Rogers; Edwards,Beds_1820a,
Beds_1826a/1,P,"A copy of the poll… (Bedford: C. B. Merry, 1826)","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, IHR",Sims; Gibson and Rogers,Beds_1826a,
Beds_1831a/1,P,"A copy of the poll… (Bedford: W. White, 1831)","Bedfordshire Archives and Records Service, Bedford Town Hall, GL, IHR",Sims; Gibson and Rogers,Beds_1831a,
Bedford_1705a/1,M,GY8/3,Bedfordshire Archives and Records Service,Green Notes; Gibson and Rogers,Bedford_1705a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Bedford_1722a/1,M,OR1818,Bedfordshire Archives and Records Service,Gibson and Rogers,Bedford_1722a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Bedford_1725a/1,M,OR1819,Bedfordshire Archives and Records Service,Gibson and Rogers,Bedford_1725a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Bedford_1727a/1,M,OR1784,Bedfordshire Archives and Records Service,Gibson and Rogers,Bedford_1727a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Bedford_1731a/1,M,OR1817,Bedfordshire Archives and Records Service,Gibson and Rogers,Bedford_1731a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Bedford_1747a/1,M,"Russell Box 770, Bedford Council Lists 1741, 1747, no. 5",Bedfordshire Archives and Records Service,Collett-White,Bedford_1747a,"James Collett-White's How Bedfordshire Voted, 1735-1784 states that the poll was abandoned after nearly 200 votes had been cast (p. 26)."
Bedford_1790a/1,P,"The poll for the election… (Bedford: W. Smith, [1790])","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, Bodl., GL, IHR",Sims; Gibson and Rogers,Bedford_1790a,
Bedford_1830a/1,P,"A copy of the poll… (Bedford: C. B. Merry, 1830)","Bedfordshire Archives and Records Service, Bedford Town Hall, Bodl., IHR",Sims; Gibson and Rogers,Bedford_1830a,
Berks_1722a/1,P,"The poll of the freeholders… (London, 1722)",GL,Sims; Gibson and Rogers,Berks_1722a,
Berks_1727a/1,P,"The poll of the freeholders… (London, 1727)","Berkshire RO, Bodl., Oxford History Centre, IHR, SoG",Sims; Gibson and Rogers; Edwards,Berks_1727a,
Berks_1768a/1,P,"The copy of the poll… (Reading: J. Carnan, [1768])","Berkshire RO, Reading CL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Berks_1768a,
Berks_1796a/1,P,"The copy of the poll… (Reading: Smart & Cowslade, [1796])","Berkshire RO, Reading CL, GL, Bodl., IHR",Sims; Gibson and Rogers,Berks_1796a,
Berks_1812a/1,P,"The poll of the freeholders… (Abingdon: J. King, [1812])","Berkshire RO, Reading CL, Bodl., IHR",Sims; Gibson and Rogers,Berks_1812a,
Berks_1818a/1,P,"The poll of the freeholders... (Windsor: C. Knight, [1818])","Berkshire RO, Bodl., IHR",Sims; Gibson and Rogers,Berks_1818a,
Berks_1820a/1,M,D/EN/O20/7,Berkshire RO,Gibson and Rogers,Berks_1820a,
Abingdon_1734a/1,P,"An exact list of those who poll'd… (n.p., [1734])","Var. Berkshire RO, Bodl., IHR",Sims; Gibson and Rogers,Abingdon_1734a,f
Abingdon_1734a/2,P,"An exact list of those who voted… (n.p., [1734])","Var. Berkshire RO, Bodl., IHR",Sims; Gibson and Rogers,Abingdon_1734a,
Abingdon_1754a/1,P,"An exact list of those who poll'd… (n.p., [1754])","Oxford History Centre, IHR",Sims; Gibson and Rogers,Abingdon_1754a,Title page missing.
Abingdon_1768a/1,P,"A true copy of the poll… (n.p., [1768)","Berkshire RO, Bodl., GL",Sims; Gibson and Rogers,Abingdon_1768a,
Abingdon_1830a/1,P,"A full report of the speeches… also the names of the electors… (Abingdon: C. Evans, [1830])","Berkshire RO, Bodl., IHR",Sims; Gibson and Rogers,Abingdon_1830a,
NewWindsor_1712a/1,M,D/EN/F23/2,Berkshire RO,Speck,NewWindsor_1712a,
NewWindsor_1712a/2,M,D/EN/O22/1,Berkshire RO,HoP; Gibson and Rogers,NewWindsor_1712a,
NewWindsor_1757a/1,P,"A copy of the poll… (n.p., [1757])","Berkshire RO, IHR",Sims; Gibson and Rogers,NewWindsor_1757a,
NewWindsor_1780a/1,P,"A copy of the poll… (J. Pote, 1780)","Berkshire RO, Windsor Guildhall, IHR",Sims; Gibson and Rogers,NewWindsor_1780a,
NewWindsor_1794a/1,P,"A copy of the poll… (Windsor: C. Knight, [1794])","Berkshire RO, BL, GL, IHR",Sims; Gibson and Rogers,NewWindsor_1794a,
NewWindsor_1802a/1,P,"A copy of the poll… (Windsor, C. Knight, 1802)","Var. Berkshire RO, Windsor Library, BL, Reading CL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,NewWindsor_1802a,
NewWindsor_1802a/2,P,"A copy of the poll... (2nd edn., corrected, Winsor: C. Knight, 1802)","BL, Bodl., IHR, SoG",Green  ,NewWindsor_1802a,
NewWindsor_1804a/1,P,"A copy of the poll… (Windsor: C. Knight, 1804)","Berkshire RO, Windsor Guildhall, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,NewWindsor_1804a,
NewWindsor_1806a/1,P,"A copy of the poll… (Windsor: C. Knight, [1806])","Windsor Guildhall, IHR, SoG",Sims; Gibson and Rogers; Edwards,NewWindsor_1806a,
Reading_1740a/1,P,"The borough of Reading in the county of Berks. The names of such persons… (n.p., [1740])","Reading CL, IHR",Sims; Gibson and Rogers,Reading_1740a,Broadsheet.
Reading_1754a/1,P,"An exact list of the voters… (Reading: C. Micklewright, [1754])",Reading CL ,Sims; Gibson and Rogers,Reading_1754a,Broadsheet.
Reading_1754a/2,P,"An exact list of the voters… (n.p., [1754])","Bodl., IHR",Sims; Gibson and Rogers,Reading_1754a,Broadsheet.
Reading_1768a/1,P,"An exact list of the voters… (Reading: J. Carnan, [1768])","Reading CL, IHR",Sims; Gibson and Rogers,Reading_1768a,Broadsheet.
Reading_1774a/1,P,"A correct list of the voters… (Reading: J. Carnan, [1774])","Reading CL, IHR",Sims; Gibson and Rogers,Reading_1774a,
Reading_1780a/1,P,"A correct list of the voters… (Reading: Carnan & Smart, [1780])","Reading CL, IHR",Sims; Gibson and Rogers,Reading_1780a,
Reading_1782a/1,P,"A correct list of the voters… (n.p., [1782])","Reading CL, IHR",Sims; Gibson and Rogers,Reading_1782a,Broadsheet.
Reading_1790a/1,P,"A correct list of the voters… (Reading: Smart & Cowslade, [1790])","Berkshire RO, IHR, SoG",Sims; Gibson and Rogers; Green Notes,Reading_1790a,Broadsheet.
Reading_1802a/1,P,"A correct list of the voters… (Reading: Smart & Cowslade, [1802])","Reading CL, IHR",Sims; Gibson and Rogers,Reading_1802a,Broadsheet.
Reading_1812a/1,P,"A correct list of the voters… (Reading: M. Cowslade, [1812])","Berkshire RO, Reading CL, IHR",Sims; Gibson and Rogers,Reading_1812a,Broadsheet.
Reading_1812a/2,M,D/EX1460/1,Berkshire RO,Green Notes,Reading_1812a,
Reading_1818a/1,P,,Reading CL,Green Notes,Reading_1818a,Uncertain.
Reading_1820a/1,P,"A correct list of the voters… (Reading: M. Cowslade, [1820])","Var. Berkshire RO, Reading CL, GL",Sims; Gibson and Rogers,Reading_1820a,
Reading_1820a/2,P,"A correct list of the voters… (Reading: Cowslade, [1820])","Var. Berkshire RO, Reading CL, GL",Sims; Gibson and Rogers,Reading_1820a,Broadsheet.
Reading_1820a/3,P,"A correct list of the voters... (Reading: G. H. Lamb, 1820)",Bodl. ,Green,Reading_1820a,Broadsheet.
Reading_1820a/4,M,R/AE1/10,Berkshire RO,Green Notes; Gibson and Rogers,Reading_1820a,
Reading_1826a/1,P,"A correct list of the voters… (Reading: M. Cowslade, 1827)","Var. Reading CL, Reading UL, Bodl., BL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards; Green Notes,Reading_1826a,
Reading_1826a/2,P,"A correct list of the voters… (Reading: William Drysdale, [1826])","Var. Reading CL, Reading UL, Bodl., BL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards; Green Notes,Reading_1826a,
Reading_1826a/3,P,"Reading Election. A correct list of the voters... (Reading: Drysdale, [1826])","Var. Reading CL, Reading UL, Bodl., BL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards; Green Notes,Reading_1826a,Broadsheet.
Wallingford_1820a/1,P,"An alphabetical list of voters… (Reading: T. Barcham, [1820])","Berkshire RO, IHR",Sims; Gibson and Rogers,Wallingford_1820a,Broadsheet.
Bucks_1701a/1,M,EL 8629a (35/C/20),"Huntington Library, San Marino",HoP,Bucks_1698a; Bucks_1701a,
Bucks_1701a/2,M,D-X 933,Centre for Buckinghamshire Studies,Green Notes; Gibson and Rogers,Bucks_1701a,
Bucks_1701b/1,M,D-X 933,Centre for Buckinghamshire Studies,Green Notes,Bucks_1701b,
Bucks_1702a/1,M,D-X 933,Centre for Buckinghamshire Studies,Green Notes,Bucks_1702a,
Bucks_1705a/1,P,"A copy of the poll… (n.p., [1705])","Bodl., GL, SoG",Sims; Gibson and Rogers; Edwards,Bucks_1705a,
Bucks_1708a/1,M,D-FR/128/11,Centre for Buckinghamshire Studies,Green Notes,Bucks_1708a,Possibly for another election.
Bucks_1710a/1,P,"A list of the names… (London, 1711)","Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, Bodl., IHR",Sims; Gibson and Rogers,Bucks_1710a,
Bucks_1710a/2,M,D-MH/40/1,Centre for Buckinghamshire Studies,Green Notes; Gibson and Rogers,Bucks_1710a,
Bucks_1713a/1,P,"A list of the names… (London, 1714)","Centre for Buckinghamshire Studies, Bodl., GL, IHR",Sims; Gibson and Rogers,Bucks_1713a,
Bucks_1713a/2,M,PB/17,Centre for Buckinghamshire Studies,Green Notes,Bucks_1713a,
Bucks_1713a/3,M,EL 10741,"Huntington Library, San Marino",HoP,Bucks_1713a,
Bucks_1722a/1,P,"A list of the names… (London, 1722)","Centre for Buckinghamshire Studies, BL, Bodl., CUL, GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bucks_1722a,
Bucks_1722a/2,M,D-LE/K/1,Centre for Buckinghamshire Studies,Green Notes; Gibson and Rogers,Bucks_1722a,
Bucks_1734a/1,M,D-MH/40/2,Centre for Buckinghamshire Studies,Green Notes; Gibson and Rogers,Bucks_1734a,
Bucks_1784a/1,P,"An alphabetical list of the names… (Aylesbury: W. Nicholls, 1785)","Var. Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bucks_1784a,
Bucks_1784a/2,P,"A copy of the poll… (n.p., [1784])","Var. Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Bucks_1784a,
Bucks_1784a/3,M,PB/3/1-8,Centre for Buckinghamshire Studies,Gibson and Rogers,Bucks_1784a,
Bucks_1784a/4,M,D-LO/7/23,Centre for Buckinghamshire Studies,Gibson and Rogers,Bucks_1784a,Burnham Hundred only.
Bucks_1831a/1,P,"A poll of the freeholders… (Aylesbury: J. H. Marshall, 1831)","Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, BL, Bodl., GL, IHR, SoG, Manchester UL",Sims; Gibson and Rogers; Edwards,Bucks_1831a,
Bucks_1831a/2,M,PB/14/4-12,Centre for Buckinghamshire Studies,Gibson and Rogers,Bucks_1831a,
Aylesbury_1780a/1,M,PB/2A,Centre for Buckinghamshire Studies,Gibson and Rogers,Aylesbury_1780a,
Aylesbury_1802a/1,P,,Centre for Buckinghamshire Studies,Gibson and Rogers,Aylesbury_1802a,Uncertain.
Aylesbury_1804a/1,P,"A poll of the electors… (London: T. Wheeler, [1804])","Var. Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, BL, Bodl., GL, IHR, SoG, Manchester UL",Sims; Gibson and Rogers; Edwards,Aylesbury_1804a,
Aylesbury_1804a/2,P,"A poll of the electors… (Buckingham: Seeley, [1804])","Var. Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, BL, Bodl., GL, IHR, SoG, Manchester UL",Sims; Gibson and Rogers; Edwards,Aylesbury_1804a,
Aylesbury_1807a/1,M,PB/5/1-6,Centre for Buckinghamshire Studies,Gibson and Rogers,Aylesbury_1807a,
Aylesbury_1818a/1,P,"A poll of the electors… (Aylesbeuy: W. Woodman, [1818])","Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, IHR",Sims; Gibson and Rogers,Aylesbury_1818a,
Aylesbury_1818a/2,M,,GL,Gibson and Rogers,Aylesbury_1818a,
Aylesbury_1831a/1,P,"A poll of the electors… (Aylesbury: J. May, [1831])","Centre for Buckinghamshire Studies, Buckinghamshire Archaeological Society, GL, IHR",Sims; Gibson and Rogers,Aylesbury_1831a,
GreatMarlow_1780a/1,P,"Borough of Great Marlow, in the county of Bucks. The poll of the inhabitants ([?Reading], [1780])",Bodl.,Green,GreatMarlow_1780a,Broadsheet.
GreatMarlow_1784a/1,P,"A copy of the original poll… (Great Marlow: John How, [1784])","Buckinghamshire Archaeological Society, IHR",Sims; Gibson and Rogers,GreatMarlow_1784a,Broadsheet.
GreatMarlow_1826a/1,P,"Copy of the poll… (Marlow: G. Cannon, 1826)",Bodl.,Green,GreatMarlow_1826a,Broadsheet.
Wendover_1734a/1,M,D-MH/40/5-6,Centre for Buckinghamshire Studies,Green Notes; Gibson and Rogers,Wendover_1734a,
Wendover_1741a/1,M,D-MH/40/18-20,Centre for Buckinghamshire Studies,Green Notes; Gibson and Rogers,Wendover_1741a,
Wendover_1780a/1,M,D-X 405/6,Centre for Buckinghamshire Studies,Green Notes; Gibson and Rogers,Wendover_1780a,
Cambs_1705a/1,P,"A copy of the poll… (n.p., [1705])","Cambridgeshire Archives, CUL, GL",Sims; Gibson and Rogers,Cambs_1705a,
Cambs_1722a/1,P,"A copy of the poll… (London, 1722)","Cambridge CL, Cambridgeshire Archives, CUL, Bodl., IHR, SoG",Sims; Gibson and Rogers; Edwards,Cambs_1722a,
Cambs_1722a/2,M,,CUL,Gibson and Rogers,Cambs_1722a,Uncertain.
Cambs_1724a/1,P,"A copy of the poll… (n.p., [1724])","Cambridgeshire Archives, Cambridge CL, IHR",Sims; Gibson and Rogers,Cambs_1724a,
Cambs_1780a/1,P,"The poll for the election… (Cambridge: Francis Hodson, [1780])","Cambridgeshire Archives, Cambridge CL, CUL, Huntingdonshire Archives, BL, GL, IHR, Bodl., SoG (also index to non-resident voters)",Sims; Gibson and Rogers; Edwards,Cambs_1780a,
Cambs_1802b/1,P,"A state of the polls… (Cambridge: F. Hodson, [1802])","Cambridge CL, CUL, Bodl., IHR, SoG",Sims; Gibson and Rogers; Edwards,Cambs_1802b,
Cambs_1802a/1,P,"A state of the polls… (Cambridge: F. Hodson, [1802])","Var. Cambridgeshire Archives, Cambridge CL, CUL, IHR",Sims; Gibson and Rogers,Cambs_1802a,
Cambs_1802a/2,P,"The poll for the election of a representative… ([Cambridge], 1802)",SoG,Green Notes,Cambs_1802a,Uncertain.
Cambs_1826a/1,P,"A copy of the poll… (Cambridge: Weston Hatfield, [1826])","Cambridgeshire Archives, Cambridge CL, CUL, GL, BL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Cambs_1826a,
Cambs_1830a/1,P,"The poll for two knights… arranged… by Thomas Allen (Cambridge: Weston Hatfield, [1830])","Cambridgeshire Archives, Cambridge CL, CUL, Huntingdon Archives, BL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Cambs_1830a,
Cambs_1831b/1,P,"The poll on the election of a representative… by Charles Henry Cooper (Cambridge: Benjamin Bridges, 1831)","Var. Cambridgeshire Archives, Cambridge CL,  CUL, BL, Bodl., GL, IHR",Sims; Gibson and Rogers,Cambs_1831b,
Cambs_1831b/2,P,"The poll for a knight of the shire… (Cambridge: J. Hodson, 1831)","Var. Cambridgeshire Archives, Cambridge CL,  CUL, BL, Bodl., GL, IHR",Sims; Gibson and Rogers,Cambs_1831b,
Cambridge_1774a/1,P,"The poll for representatives in parliament… (n.p., [1774])","Cambridgeshire Archives, Cambridge CL, IHR",Sims; Gibson and Rogers,Cambridge_1774a,
Cambridge_1776a/1,P,"A copy of the poll… (n.p., [1776])","Cambridgeshire Archives, Cambridge CL, GL",Sims; Gibson and Rogers,Cambridge_1776a,
Cambridge_1780a/1,P,"The poll for the election… (Cambridge: Francis Hodson, [1780])","Cambridgeshire Archives, Cambridge CL, BL, GL",Sims; Gibson and Rogers,Cambridge_1780a,
Cambridge_1818a/1,P,"The poll alphabetically digested… on the election of two representatives (Cambridge: E. and J. Goode, 1818)","Cambridgeshire Archives, Cambridge CL, CUL, IHR",Sims; Gibson and Rogers,Cambridge_1818a,
Cambridge_1818a/2,M,292/O39,Cambridgeshire Archives,Gibson and Rogers,Cambridge_1818a,
Cambridge_1819a/1,P,"Cambridge election (Cambridge: Hodson, [1819])","CUL, IHR",Green; Gibson and Rogers,Cambridge_1819a,"History of Parliament do not recognise the contest, Adeane having declined the contest."
Cambridge_1819a/2,M,City/PB Volume 49,Cambridgeshire Archives,Gibson and Rogers,Cambridge_1819a,
Cambridge_1820a/1,M,City/PB Volume 49,Cambridgeshire Archives,Gibson and Rogers,Cambridge_1820a,
Cambridge_1828a/1,M,City/PB Volume 49,Cambridgeshire Archives,Gibson and Rogers,Cambridge_1828a,
Cambridge_1829a/1,M,City/PB Volume 49,Cambridgeshire Archives,Gibson and Rogers,Cambridge_1829a,
CambUniv_1695a/1,M,University/CUR 50/6(1),CUL,HoP,CambUniv_1695a,
CambUniv_1702a/1,M,University/CUR 50/6(2),CUL,HoP,CambUniv_1702a,
CambUniv_1705a/1,M,University/CUR 50/6(3),CUL,HoP,CambUniv_1705a,
CambUniv_1710a/1,M,University/CUR 50/6(4),CUL,HoP,CambUniv_1710a,
CambUniv_1727a/1,P,"A copy of the poll… (London, 1727)","Cambridgeshire Archives, CUL, Bedfordshire Archives and Records Service, BL, Bodl., GL, IHR",Sims; Gibson and Rogers,CambUniv_1727a,
CambUniv_1734a/1,M,University/CUR 50/6(6),CUL,,CambUniv_1734a,
CambUniv_1780a/1,P,"The poll for the election… (Cambridge: Francis Hodson, [1780])","Cambridgeshire Archives, Cambridge CL, CUL, Huntingdon Archives, Bodl., GL, Manchester UL, IHR",Sims; Gibson and Rogers,CambUniv_1780a,
CambUniv_1784a/1,P,"The poll for the election... by John Beverley (Cambridge: Francis Hodson, [1784])","Cambridgeshire Archives, Cambridge CL, CUL, Huntingdon Archives, BL, Bodl., GL, IHR, Manchester UL, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1784a,
CambUniv_1790a/1,P,"The poll for the election… by John Beverley (Cambridge: John Archdeacon, [1790])","Cambridgeshire Archives, Cambridge CL, CUL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1790a,
CambUniv_1806a/1,P,"The poll for the election… by John Beverley (Cambridge: Francis Hodson, [1806])","Cambridgeshire Archives, Cambridge CL, CUL, Bodl., BL, GL, IHR",Sims; Gibson and Rogers,CambUniv_1806a,
CambUniv_1807a/1,P,"The poll for the election… by John Beverley (Cambridge: Francis Hodson, [1807])","Cambridgeshire Archives, Cambridge CL, CUL, BL, Bodl., GL, IHR, Manchester UL, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1807a,
CambUniv_1811a/1,P,"The polls for the election of Chancellor… and that of representative in Parliament... (Cambridge: University Press, 1811)","Cambridgeshire Archives, CUL, BL, Bodl., GL, Manchester UL, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1811a,
CambUniv_1822a/1,P,"The poll for the election… by Henry Gunning (Cambridge: James Hodson, [1822])","Cambridgeshire Archives, Cambridge CL, CUL, BL, Bodl., GL, IHR, Manchester UL, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1822a,
CambUniv_1822a/2,P,"The poll for the election…by Henry Gunning (2nd edn., Cambridge: James Hodson, [1822])",BL ,Green,CambUniv_1822a,
CambUniv_1826a/1,P,"The poll for the election… by Henry Gunning (Cambridge: J. Smith, 1826)","Cambridgeshire Archives, Cambridge CL, CUL, BL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1826a,
CambUniv_1827a/1,P,"The poll for the election… by Henry Gunning (Cambridge: J. Smith, [1827])","Cambridgeshire Archives, Cambridge CL, CUL, BL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers,CambUniv_1827a,
CambUniv_1827a/2,P,"The poll for the election of a representative… (Cambridge: J and W. T. Clarke, 1827).",SoG,Green Notes; Edwards,CambUniv_1827a,
CambUniv_1829a/1,P,"The poll for the election… by Henry Gunning (Cambridge: J. Smith, 1829)","Cambridgeshire Archives, Cambridge CL, CUL, BL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1829a,
CambUniv_1831a/1,P,"The poll for the election… by Henry Gunning (Cambridge: J. Smith, 1831)","Cambridgeshire Archives, Cambridge CL, CUL, BL, Bodl., GL, IHR, Manchester UL, SoG",Sims; Gibson and Rogers; Edwards,CambUniv_1831a,
Ches_1701b/1,M,ZCR 63/2/12,Cheshire RO,Baskerville et al.; Green Notes,Ches_1701b; Ches_1702a,
Ches_1701b/2,M,"Legh of Lyme MSS, Box Y",Cheshire RO,Baskerville et al.,,
Ches_1702a/1,M,DEO 197/1,Cheshire RO,Baskerville et al.; Green Notes,Ches_1702a,
Ches_1705a/1,P,"A copy of the poll… (n.p., [1705])","Bangor University Archives, IHR",Sims; Gibson and Rogers,Ches_1705a,
Ches_1705a/2,M,Shackerley MSS,Cheshire RO,Baskerville et al.,Ches_1705a,Note by Peter Shackerley on a booth-by-booth analysis of the 1705 poll book.
Ches_1705a/3,M,Mostyn MSS 8423-6,Bangor University Archives ,Baskerville et al.,Ches_1705a,
Ches_1710a/1,M,"Legh of Lyme MSS, Box Y","John Rylands, Manchester UL",Baskerville et al.,Ches_1710a,
Ches_1715a/1,M,QDV/1/1-7,Cheshire RO,Baskerville et al.; Gibson and Rogers,Ches_1715a,
Ches_1722a/1,M,QDV/1/8-15,Cheshire RO,Baskerville et al.; Gibson and Rogers,Ches_1722a,
Ches_1727a/1,M,DEO 200/1,Cheshire RO,Baskerville et al.; Green Notes,Ches_1727a,Eddisbury Hundred only.
Ches_1727a/2,M,BC/VI/221,Wirral Archives Service,Baskerville et al.; Gibson and Rogers,Ches_1727a,
Ches_1727a/3,M,Formerly MS 3632,GL,Baskerville et al.; Green Notes,Ches_1727a,
Ches_1727a/4,M,"Grosvenor MSS, Vol. 5",Eaton Hall,Baskerville et al.,Ches_1727a,
Ches_1727a/5,M,ZCR 63/2/14,Cheshire RO,Baskerville et al.,Ches_1727a,"Macclesfield, Bucklow, and Broxton Hundreds only."
Ches_1727a/6,M,P4/19/2,Cheshire RO,Baskerville et al.,Ches_1727a,Fragment.
Ches_1734a/1,M,"Roundell Muniments, Poll Book no. 8","John Rylands, Manchester UL",Baskerville et al.,Ches_1734a,
Chester_1701b/1,M,DAR/F/33,Cheshire RO,HoP,Chester_1701b,
Chester_1733a/1,P,"An alphabetical list… (Chester: Roger Adams, for John Page, 1733)",GL,Sims; Gibson and Rogers,Chester_1733a,
Chester_1747a/1,P,"An alphabetical list… (Chester: Eliz. Adams, for John Page, [1747])","Var. Chester CL, BL, Bodl., GL, IHR, SoG",Sims; Gibson and Rogers; Edwards,Chester_1747a,
